time,win,loss,prim_tent,prim_gale,seg_gale

2022-07-15 20:27:30.753513,1,0,0,1,0

2022-07-15 20:31:01.736227,1,0,0,0,1

2022-07-15 20:34:36.092705,1,0,1,0,0

2022-07-15 20:36:04.837082,1,0,1,0,0

2022-07-15 20:41:33.875741,1,0,1,0,0

2022-07-15 20:43:02.541915,1,0,1,0,0

2022-07-15 20:47:23.509878,1,0,0,0,1

2022-07-15 20:50:33.453596,1,0,0,1,0

2022-07-15 20:53:04.783455,1,0,1,0,0

2022-07-15 21:00:37.903596,1,0,0,1,0

2022-07-15 21:06:34.678713,1,0,1,0,0

2022-07-15 21:08:05.911958,1,0,0,1,0

2022-07-15 21:11:36.237939,1,0,0,0,1

2022-07-15 21:14:07.281444,1,0,1,0,0

2022-07-15 21:55:37.907317,1,0,0,1,0

2022-07-15 22:01:45.135890,1,0,1,0,0

2022-07-15 22:08:11.196442,1,0,0,1,0

2022-07-15 22:13:11.364690,0,1,0,0,0

2022-07-15 22:19:01.568262,1,0,0,1,0

2022-07-15 22:23:12.194480,1,0,0,1,0

2022-07-15 22:30:41.896222,0,1,0,0,0

2022-07-15 22:32:11.957962,1,0,0,0,1

2022-07-16 01:40:42.579318,1,0,1,0,0

2022-07-16 01:42:28.316532,1,0,0,1,0

2022-07-16 01:44:09.885745,1,0,1,0,0

2022-07-16 01:45:28.239164,1,0,1,0,0

2022-07-16 01:49:04.587365,1,0,1,0,0

2022-07-16 01:51:01.907664,1,0,1,0,0

2022-07-16 01:58:51.114789,1,0,0,1,0

2022-07-16 02:20:52.390945,1,0,1,0,0

2022-07-16 12:22:19.671469,1,0,0,1,0

2022-07-16 12:30:18.664117,1,0,1,0,0

2022-07-16 12:36:48.757628,1,0,1,0,0

2022-07-16 12:40:49.027817,1,0,0,0,1

2022-07-16 12:52:19.696835,0,1,0,0,0

2022-07-16 12:54:49.477789,1,0,1,0,0

2022-07-16 13:01:19.791564,1,0,1,0,0
2022-07-16 13:02:49.953339,1,0,1,0,0
2022-07-16 13:19:50.547266,1,0,0,1,0
2022-07-16 13:31:51.159104,1,0,1,0,0
2022-07-16 14:01:52.258985,1,0,0,0,1
2022-07-16 14:16:23.538028,0,1,0,0,0
2022-07-16 14:29:23.635974,1,0,1,0,0
2022-07-16 14:31:53.665249,1,0,1,0,0
2022-07-16 14:34:24.328227,1,0,0,1,0
2022-07-16 14:47:24.246886,1,0,1,0,0
2022-07-16 15:59:53.892615,1,0,1,0,0
2022-07-16 16:02:23.860780,1,0,1,0,0
2022-07-16 16:37:55.827300,1,0,0,1,0
2022-07-16 16:48:56.762479,1,0,1,0,0
2022-07-16 16:54:56.949191,1,0,1,0,0
2022-07-16 17:01:24.791086,1,0,1,0,0
2022-07-16 17:11:58.003897,1,0,1,0,0
2022-07-16 17:14:28.282126,1,0,0,0,1
2022-07-16 17:40:29.613423,1,0,1,0,0
2022-07-16 17:51:30.228578,1,0,1,0,0
2022-07-16 17:55:31.038473,1,0,0,1,0
2022-07-16 17:59:30.608591,0,1,0,0,0
2022-07-16 18:00:30.833633,1,0,1,0,0
2022-07-16 18:04:30.877052,1,0,0,1,0
2022-07-16 18:10:01.371794,1,0,0,1,0
2022-07-16 18:19:31.730917,1,0,0,1,0
2022-07-16 18:24:02.341835,1,0,0,1,0
2022-07-16 18:26:32.366479,1,0,1,0,0
2022-07-16 18:30:32.657931,1,0,0,1,0
2022-07-16 18:36:02.966791,1,0,1,0,0
2022-07-16 18:45:05.068770,1,0,1,0,0
2022-07-16 18:49:35.675655,1,0,0,0,1
2022-07-16 18:53:05.751087,1,0,1,0,0
2022-07-16 19:04:06.505381,1,0,1,0,0
2022-07-16 19:11:36.581635,1,0,1,0,0
2022-07-16 19:15:36.861659,1,0,0,0,1
2022-07-16 19:19:37.035666,1,0,0,0,1
2022-07-16 19:28:07.274132,1,0,0,1,0
2022-07-16 19:33:07.585791,1,0,0,0,1
2022-07-16 19:37:07.991532,1,0,0,0,1
2022-07-16 19:42:38.417379,1,0,1,0,0
2022-07-16 19:51:38.966157,1,0,1,0,0
2022-07-16 19:53:09.092307,1,0,1,0,0
2022-07-16 19:54:39.220038,1,0,1,0,0
2022-07-16 19:56:39.264212,1,0,1,0,0
2022-07-16 20:00:09.415682,1,0,0,0,1
2022-07-16 20:05:09.744385,1,0,1,0,0
2022-07-16 20:11:10.033236,1,0,0,0,1
2022-07-16 20:12:40.256841,1,0,1,0,0
2022-07-16 20:15:40.473622,1,0,0,1,0
2022-07-16 20:19:40.881225,1,0,1,0,0
2022-07-16 20:22:40.685825,1,0,0,1,0
2022-07-16 20:25:11.253556,1,0,0,0,1
2022-07-16 20:27:40.960979,1,0,1,0,0
2022-07-16 20:34:11.584027,1,0,0,1,0
2022-07-16 20:39:11.661374,1,0,1,0,0
2022-07-16 20:41:11.766151,1,0,1,0,0
2022-07-16 20:44:11.934816,1,0,1,0,0
2022-07-16 20:47:42.275641,1,0,0,0,1
2022-07-16 20:49:42.123553,1,0,1,0,0
2022-07-16 20:52:16.952842,1,0,1,0,0
2022-07-16 20:59:14.891024,1,0,0,1,0
2022-07-16 21:05:15.118943,1,0,0,1,0
2022-07-16 21:08:15.379451,1,0,1,0,0
2022-07-16 21:13:15.532399,1,0,1,0,0
2022-07-16 21:18:46.417574,1,0,1,0,0
2022-07-16 21:20:46.017382,1,0,0,1,0
2022-07-16 21:23:19.971577,1,0,1,0,0
2022-07-16 21:28:16.540201,1,0,1,0,0
2022-07-16 21:37:17.496015,1,0,1,0,0
2022-07-16 21:39:17.641721,1,0,1,0,0
2022-07-16 21:43:48.161392,1,0,1,0,0
2022-07-16 21:46:48.069657,1,0,0,1,0
2022-07-16 21:51:18.713078,0,1,0,0,0
2022-07-16 21:58:18.660709,1,0,0,0,1
2022-07-16 22:00:19.543028,1,0,0,1,0
2022-07-16 22:04:49.149876,1,0,1,0,0
2022-07-16 22:08:19.499833,1,0,0,1,0
2022-07-16 22:11:19.487422,0,1,0,0,0
2022-07-16 22:13:19.508846,1,0,0,0,1
2022-07-16 22:17:19.751305,1,0,0,0,1
2022-07-16 22:48:52.511965,0,1,0,0,0
2022-07-16 22:50:22.052969,1,0,0,1,0
2022-07-16 22:55:26.829915,1,0,0,1,0
2022-07-16 22:59:59.663832,1,0,1,0,0
2022-07-16 23:01:59.673964,1,0,0,1,0
2022-07-16 23:04:29.757376,1,0,1,0,0
2022-07-16 23:09:29.957053,1,0,1,0,0
2022-07-16 23:11:00.321055,1,0,1,0,0
2022-07-17 00:18:33.734039,1,0,0,1,0
2022-07-17 00:21:10.391734,1,0,0,1,0
2022-07-17 00:25:34.191494,1,0,1,0,0
2022-07-17 00:28:34.396587,0,1,0,0,0
2022-07-17 00:33:05.467917,1,0,0,1,0
2022-07-17 00:36:34.840173,1,0,0,0,1
2022-07-17 00:39:35.252446,1,0,0,1,0
2022-07-17 00:45:35.184891,0,1,0,0,0
2022-07-17 00:56:05.601943,1,0,0,1,0
2022-07-17 00:58:35.758911,0,1,0,0,0
2022-07-17 01:03:06.232249,1,0,0,1,0
2022-07-17 01:05:36.821036,1,0,0,0,1
2022-07-17 01:11:36.571614,1,0,1,0,0
2022-07-17 01:14:37.438155,1,0,0,1,0
2022-07-17 01:17:36.996540,1,0,1,0,0
2022-07-17 01:29:37.497710,1,0,0,1,0
2022-07-17 01:40:48.417277,0,1,0,0,0
2022-07-17 01:44:38.358781,1,0,1,0,0
